actor_id,emotion,emotion_mean_anger,emotion_mean_disgust,emotion_mean_fear,emotion_mean_happiness,emotion_mean_sadness,emotion_mean_surprise,emotion_mean_neutral,emotion_std_anger,emotion_std_disgust,emotion_std_fear,emotion_std_happiness,emotion_std_sadness,emotion_std_surprise,emotion_std_neutral,emotion_max_anger,emotion_max_disgust,emotion_max_fear,emotion_max_happiness,emotion_max_sadness,emotion_max_surprise,emotion_max_neutral,emotion_min_anger,emotion_min_disgust,emotion_min_fear,emotion_min_happiness,emotion_min_sadness,emotion_min_surprise,emotion_min_neutral,au_mean_AU01,au_mean_AU02,au_mean_AU04,au_mean_AU05,au_mean_AU06,au_mean_AU07,au_mean_AU09,au_mean_AU10,au_mean_AU11,au_mean_AU12,au_mean_AU14,au_mean_AU15,au_mean_AU17,au_mean_AU20,au_mean_AU23,au_mean_AU24,au_mean_AU25,au_mean_AU26,au_mean_AU28,au_mean_AU43,au_std_AU01,au_std_AU02,au_std_AU04,au_std_AU05,au_std_AU06,au_std_AU07,au_std_AU09,au_std_AU10,au_std_AU11,au_std_AU12,au_std_AU14,au_std_AU15,au_std_AU17,au_std_AU20,au_std_AU23,au_std_AU24,au_std_AU25,au_std_AU26,au_std_AU28,au_std_AU43,au_max_AU01,au_max_AU02,au_max_AU04,au_max_AU05,au_max_AU06,au_max_AU07,au_max_AU09,au_max_AU10,au_max_AU11,au_max_AU12,au_max_AU14,au_max_AU15,au_max_AU17,au_max_AU20,au_max_AU23,au_max_AU24,au_max_AU25,au_max_AU26,au_max_AU28,au_max_AU43,au_min_AU01,au_min_AU02,au_min_AU04,au_min_AU05,au_min_AU06,au_min_AU07,au_min_AU09,au_min_AU10,au_min_AU11,au_min_AU12,au_min_AU14,au_min_AU15,au_min_AU17,au_min_AU20,au_min_AU23,au_min_AU24,au_min_AU25,au_min_AU26,au_min_AU28,au_min_AU43
1,neutral,0.06249799206852913,0.03171871602535248,0.1334296464920044,0.03135903552174568,0.45207837224006653,0.036973923444747925,0.25194233655929565,0.05979520082473755,0.044482603669166565,0.1559094488620758,0.019031280651688576,0.2212551236152649,0.03421485424041748,0.14199842512607574,0.2774326503276825,0.21151204407215118,0.7490461468696594,0.07438895106315613,0.8441320657730103,0.12354011088609695,0.6765359044075012,0.005106333177536726,0.0013214576756581664,0.031323373317718506,0.006591387093067169,0.07621452957391739,0.004514492582529783,0.04574376344680786,0.47942638397216797,0.23691317439079285,0.7132469415664673,0.34273478388786316,0.2711503803730011,0.9259259104728699,0.3148826062679291,0.14259105920791626,0.0,0.12406159937381744,0.20912562310695648,0.48531392216682434,0.5857591032981873,0.2222222238779068,0.3096641004085541,0.21828587353229523,0.8142747282981873,0.47788703441619873,0.07373107969760895,0.0922970250248909,0.07398882508277893,0.04285401105880737,0.09774032235145569,0.030079074203968048,0.05437764897942543,0.26688024401664734,0.09407632052898407,0.12791955471038818,0.0,0.07546115666627884,0.07468327134847641,0.1486605554819107,0.1427929848432541,0.4236592650413513,0.070769302546978,0.08619853854179382,0.24086157977581024,0.2135094255208969,0.050765492022037506,0.043915558606386185,0.6518834829330444,0.3321569859981537,0.8642194271087646,0.4148043692111969,0.4504048228263855,1.0,0.44280725717544556,0.5531843304634094,0.0,0.40488702058792114,0.3527945578098297,0.7762733697891235,0.7354857921600342,1.0,0.4206276834011078,0.33940252661705017,0.9990593791007996,0.8477902412414551,0.25327908992767334,0.2041347324848175,0.35073989629745483,0.1651621013879776,0.47303441166877747,0.30620166659355164,0.1956208050251007,0.0,0.12556612491607666,0.008606726303696632,0.0,0.043614089488983154,0.09719089418649673,0.2373112440109253,0.28427138924598694,0.0,0.1487216055393219,0.034142833203077316,0.07665575295686722,0.15507952868938446,0.022729605436325073,0.03486757352948189
2,neutral,0.08919217437505722,0.03728194907307625,0.21591155230998993,0.042494338005781174,0.28541818261146545,0.07879669964313507,0.2509050965309143,0.06919324398040771,0.04123697429895401,0.19535210728645325,0.029911009594798088,0.20591941475868225,0.0824570581316948,0.20982177555561066,0.26637938618659973,0.19156262278556824,0.5335233807563782,0.11160557717084885,0.7258709669113159,0.2937694191932678,0.6530844569206238,0.009263202548027039,0.0024415054358541965,0.013750673271715641,0.003523494815453887,0.032240740954875946,0.004269170109182596,0.026104461401700974,0.4865887463092804,0.2280513197183609,0.776552140712738,0.3524971902370453,0.3339906334877014,0.9333333373069763,0.3118903934955597,0.2850501835346222,0.06666667014360428,0.17513951659202576,0.25993454456329346,0.4872186481952667,0.4850115180015564,0.5,0.29684528708457947,0.1645371913909912,0.7964135408401489,0.566857635974884,0.06997625529766083,0.1017170250415802,0.07261344790458679,0.0417545810341835,0.08117885142564774,0.038555942475795746,0.15256772935390472,0.2537081241607666,0.13175827264785767,0.272358775138855,0.2537081241607666,0.12266293168067932,0.10339334607124329,0.12495813518762589,0.19135741889476776,0.5085476040840149,0.07143504172563553,0.14914080500602722,0.28203269839286804,0.268602579832077,0.04504116252064705,0.06305139511823654,0.681085467338562,0.34095025062561035,0.8851159811019897,0.4281456172466278,0.6147386431694031,1.0,0.5252419114112854,0.865933358669281,1.0,0.47919031977653503,0.47781506180763245,0.7290962934494019,0.762640118598938,1.0,0.44400352239608765,0.47183069586753845,0.9999796152114868,0.8911302089691162,0.23306788504123688,0.27056199312210083,0.3584762513637543,0.1701292246580124,0.5504205822944641,0.2879706621170044,0.1585996150970459,0.0,0.11632887274026871,0.018302617594599724,0.0,0.04512019082903862,0.10889746993780136,0.2754695415496826,0.23936046659946442,0.0,0.12406767904758453,0.008347343653440475,0.13166989386081696,0.1313617080450058,0.014461131766438484,0.035993792116642
3,neutral,0.0787014588713646,0.01600528135895729,0.17618347704410553,0.02023897133767605,0.29407066106796265,0.13015161454677582,0.2846485674381256,0.09055321663618088,0.020721567794680595,0.21335327625274658,0.014923821203410625,0.1932302564382553,0.1992698460817337,0.2402416467666626,0.4297610819339752,0.10718655586242676,0.6941982507705688,0.07060658186674118,0.6685553193092346,0.8450667858123779,0.7745241522789001,0.008940060622990131,0.0015476734843105078,0.004931969102472067,0.004457089118659496,0.017781831324100494,0.0035941454116255045,0.03604675456881523,0.47373420000076294,0.22541436553001404,0.7706631422042847,0.3557276129722595,0.2571425139904022,0.75,0.25498178601264954,0.2149384766817093,0.1071428582072258,0.11665337532758713,0.19504769146442413,0.39006176590919495,0.510371744632721,0.4285714328289032,0.2964038848876953,0.1794356256723404,0.7705548405647278,0.6242994666099548,0.08814352005720139,0.12452118843793869,0.08181561529636383,0.042170651257038116,0.09172705560922623,0.050058674067258835,0.10195271670818329,0.44095855951309204,0.1052674725651741,0.1886136829853058,0.3149704039096832,0.08481155335903168,0.07007129490375519,0.16010631620883942,0.1574816256761551,0.5039526224136353,0.04802805930376053,0.12442129105329514,0.32508715987205505,0.2543175220489502,0.07459940016269684,0.07502204924821854,0.6339629292488098,0.30406591296195984,0.8897746801376343,0.44576191902160645,0.5462434887886047,1.0,0.42427700757980347,0.6512182354927063,1.0,0.362318217754364,0.35216063261032104,0.7253337502479553,0.7395334839820862,1.0,0.37588346004486084,0.3845437169075012,0.9996803998947144,0.9498100280761719,0.37012699246406555,0.344801664352417,0.3292670249938965,0.1429712325334549,0.5356521010398865,0.26103997230529785,0.14026090502738953,0.0,0.10236775875091553,0.00849944818764925,0.0,0.03446810692548752,0.10163170844316483,0.09994981437921524,0.26222795248031616,0.0,0.17157036066055298,0.018578819930553436,0.04627162218093872,0.12734287977218628,0.021093709394335747,0.03311069309711456
4,neutral,0.05091220885515213,0.008109746500849724,0.2144501954317093,0.019968196749687195,0.3367644250392914,0.07753568887710571,0.2922595143318176,0.058702219277620316,0.009380673989653587,0.2659585773944855,0.014299086295068264,0.25774702429771423,0.11954392492771149,0.28910261392593384,0.21919980645179749,0.0444430448114872,0.8208555579185486,0.06022104248404503,0.7910228967666626,0.4472139775753021,0.7881070971488953,0.0009879525750875473,0.001145050977356732,0.0035558727104216814,0.0010525529505684972,0.028847461566329002,0.00305562955327332,0.007547587621957064,0.5707421898841858,0.32790273427963257,0.7445185780525208,0.3783636689186096,0.2350034862756729,0.7857142686843872,0.20322997868061066,0.19925348460674286,0.0714285746216774,0.12035226821899414,0.2114698439836502,0.4326033890247345,0.5478731989860535,0.3214285671710968,0.2594691216945648,0.21746298670768738,0.7379665970802307,0.5014318823814392,0.12207156419754028,0.10247831791639328,0.20709234476089478,0.1703152060508728,0.12018624693155289,0.06263700127601624,0.07101712375879288,0.417855441570282,0.10014812648296356,0.19306915998458862,0.26226526498794556,0.07471965998411179,0.08365257829427719,0.19280745089054108,0.18619991838932037,0.4755948781967163,0.07324288785457611,0.13848860561847687,0.3134407699108124,0.20925094187259674,0.1011769026517868,0.053541190922260284,0.918287456035614,0.7379817962646484,0.9297940135002136,0.5578024983406067,0.4677520990371704,1.0,0.39750584959983826,0.7782394289970398,1.0,0.3050602376461029,0.37822604179382324,0.7635707855224609,0.7747796773910522,1.0,0.3981282413005829,0.4759351313114166,0.9996947050094604,0.8681042194366455,0.42613691091537476,0.2009819895029068,0.33745047450065613,0.1489085853099823,0.4903680086135864,0.26474514603614807,0.13063162565231323,0.0,0.08512145280838013,0.006154605187475681,0.0,0.04278815910220146,0.08515550941228867,0.09765355288982391,0.2666318416595459,0.0,0.13633760809898376,0.022648409008979797,0.09801773726940155,0.20045988261699677,0.008893990889191628,0.034169889986515045
5,neutral,0.1123969554901123,0.016005581244826317,0.19181962311267853,0.015349670313298702,0.2948002517223358,0.1481861025094986,0.2214418351650238,0.11563315242528915,0.014862032607197762,0.2263990193605423,0.016430484130978584,0.18361429870128632,0.24722549319267273,0.19457615911960602,0.49966174364089966,0.056779392063617706,0.7169429659843445,0.08183979243040085,0.6780340075492859,0.8584702610969543,0.6528723239898682,0.010129964910447598,0.0017682391917333007,0.007158740423619747,0.004203751217573881,0.009986061602830887,0.003164103254675865,0.02320702187716961,0.45245736837387085,0.2122747302055359,0.7801162004470825,0.35136014223098755,0.24819213151931763,0.8333333134651184,0.2339758425951004,0.2553623914718628,0.03333333507180214,0.12311258167028427,0.1973390281200409,0.3434772193431854,0.5040665864944458,0.3333333432674408,0.2689093351364136,0.17319563031196594,0.7945402264595032,0.6388978958129883,0.10626981407403946,0.14843836426734924,0.08145646750926971,0.04562010616064072,0.09078257530927658,0.06266192346811295,0.1235608384013176,0.37904903292655945,0.11497154831886292,0.25799864530563354,0.18257419764995575,0.09698627889156342,0.08149285614490509,0.15663298964500427,0.17456577718257904,0.4794633090496063,0.06377233564853668,0.12500138580799103,0.29782626032829285,0.23942293226718903,0.07036111503839493,0.09729310870170593,0.6148842573165894,0.3041064143180847,0.9286389946937561,0.4820624589920044,0.5796082615852356,1.0,0.45609036087989807,0.9070875644683838,1.0,0.3847738802433014,0.4574979841709137,0.6285394430160522,0.7215669751167297,1.0,0.37768736481666565,0.39928138256073,0.9998719692230225,0.917850136756897,0.27410608530044556,0.41221487522125244,0.3366049826145172,0.1305823028087616,0.5490277409553528,0.2421417087316513,0.1305035799741745,0.0,0.09914316982030869,0.010139204561710358,0.0,0.039259832352399826,0.10550659149885178,0.12860320508480072,0.2723705768585205,0.0,0.14240895211696625,0.016436925157904625,0.06673980504274368,0.13830015063285828,0.023544535040855408,0.034977175295352936
6,neutral,0.09574641287326813,0.03799663484096527,0.22962509095668793,0.05083408206701279,0.2579146921634674,0.1052674725651741,0.22261562943458557,0.07741871476173401,0.04880499467253685,0.19406962394714355,0.046547334641218185,0.2231212854385376,0.11458969116210938,0.23617534339427948,0.3560735285282135,0.20070500671863556,0.67466801404953,0.21382829546928406,0.8940044045448303,0.3746819496154785,0.6852785348892212,0.005957960616797209,0.0015938087599352002,0.011387456208467484,0.004473772831261158,0.022256845608353615,0.0039109643548727036,0.01199483685195446,0.48320895433425903,0.23069368302822113,0.7668157815933228,0.3723650276660919,0.3973775804042816,0.8333333134651184,0.34679222106933594,0.2736511528491974,0.03333333507180214,0.16113710403442383,0.27534300088882446,0.4423258602619171,0.46901223063468933,0.5,0.30284383893013,0.15137092769145966,0.7369892001152039,0.579828143119812,0.060823701322078705,0.1116151437163353,0.07985225319862366,0.05132744088768959,0.08302383869886398,0.03505102917551994,0.1660086214542389,0.37904903292655945,0.11885646730661392,0.23010607063770294,0.18257419764995575,0.08658603578805923,0.0810033529996872,0.1655258983373642,0.2174701988697052,0.5085476040840149,0.07301465421915054,0.15686728060245514,0.3421613872051239,0.28538060188293457,0.053171828389167786,0.0703071877360344,0.7297471761703491,0.32643237709999084,0.8991061449050903,0.4466402232646942,0.6369667053222656,1.0,0.4931052029132843,0.8076692819595337,1.0,0.46490901708602905,0.41674911975860596,0.7779918313026428,0.7595047354698181,1.0,0.4557401239871979,0.4746287763118744,0.9999580383300781,0.9189133048057556,0.24560041725635529,0.30415648221969604,0.349564790725708,0.14998206496238708,0.5619626045227051,0.29047825932502747,0.15876176953315735,0.0,0.1188977062702179,0.010829241015017033,0.0,0.05334419757127762,0.14569202065467834,0.19592662155628204,0.22168736159801483,0.0,0.17426177859306335,0.00981164164841175,0.1077546626329422,0.09506579488515854,0.010928000323474407,0.03378264978528023
7,neutral,0.05620712786912918,0.04446577653288841,0.18655195832252502,0.05361555144190788,0.365291953086853,0.058203913271427155,0.23566368222236633,0.05970826372504234,0.056060098111629486,0.165876567363739,0.049099259078502655,0.22943399846553802,0.0807720273733139,0.17492595314979553,0.2670625150203705,0.25027602910995483,0.6443460583686829,0.2036919742822647,0.8639878034591675,0.31755533814430237,0.6938685178756714,0.008344792760908604,0.0026434194296598434,0.01438604574650526,0.0039194198325276375,0.06856326758861542,0.004483088850975037,0.018851501867175102,0.482925683259964,0.22905892133712769,0.7476062774658203,0.36125805974006653,0.3340349793434143,1.0,0.35723814368247986,0.15228982269763947,0.032258063554763794,0.1738276332616806,0.269196480512619,0.4986157715320587,0.5283055901527405,0.4193548262119293,0.34193915128707886,0.18093279004096985,0.7757725715637207,0.565740168094635,0.06957901269197464,0.08562520146369934,0.07894490659236908,0.05033063143491745,0.11940920352935791,0.029992304742336273,0.129961758852005,0.0,0.11149530112743378,0.1443261057138443,0.17960530519485474,0.14323920011520386,0.10396828502416611,0.13741710782051086,0.17178602516651154,0.501610279083252,0.06919191777706146,0.13688376545906067,0.30156126618385315,0.25880634784698486,0.037951089441776276,0.04553611949086189,0.603941798210144,0.33787667751312256,0.8945749998092651,0.42329782247543335,0.5987731218338013,1.0,0.55706387758255,0.6251733303070068,1.0,0.5827947854995728,0.5502824783325195,0.7144361734390259,0.754381537437439,1.0,0.5262258052825928,0.4870795011520386,0.9998941421508789,0.8945438265800476,0.16486775875091553,0.22252361476421356,0.31857600808143616,0.14285685122013092,0.43200254440307617,0.30746495723724365,0.16347521543502808,1.0,0.12339852750301361,0.009969675913453102,0.0,0.04568234458565712,0.1328490674495697,0.18777553737163544,0.2298414260149002,0.0,0.19929099082946777,0.014275350607931614,0.054903652518987656,0.10607694089412689,0.01575002633035183,0.029093479737639427
8,neutral,0.03220333904027939,0.030410442501306534,0.2028883844614029,0.061131831258535385,0.37581077218055725,0.07228676229715347,0.22526846826076508,0.033456429839134216,0.0627785250544548,0.21493124961853027,0.08611802011728287,0.26304855942726135,0.12746502459049225,0.18518266081809998,0.12526410818099976,0.33610403537750244,0.790601909160614,0.36240848898887634,0.8002952337265015,0.5911027193069458,0.6315838098526001,0.004021643195301294,0.0012519460869953036,0.007298585493117571,0.003574321512132883,0.02828451618552208,0.005172676406800747,0.009649480693042278,0.5837329626083374,0.2994824945926666,0.6915969848632812,0.38102951645851135,0.2917686700820923,0.8999999761581421,0.2469153106212616,0.21613150835037231,0.0,0.16724354028701782,0.24976877868175507,0.4848579466342926,0.5568000078201294,0.36666667461395264,0.31111806631088257,0.21697205305099487,0.6896316409111023,0.47224000096321106,0.09277676045894623,0.07427658885717392,0.09774491935968399,0.05689014121890068,0.1111539676785469,0.04410654306411743,0.12273268401622772,0.3051285743713379,0.1090318113565445,0.17710080742835999,0.0,0.11548958718776703,0.09385320544242859,0.143851175904274,0.17550884187221527,0.49013251066207886,0.06534340977668762,0.13408173620700836,0.33847376704216003,0.2575516700744629,0.07388655841350555,0.03678024187684059,0.7899592518806458,0.40716251730918884,0.8864030241966248,0.47607937455177307,0.604503333568573,1.0,0.5128822326660156,0.775567352771759,0.0,0.5331375002861023,0.5038556456565857,0.8268608450889587,0.776075541973114,1.0,0.4405778646469116,0.4808925688266754,0.9999183416366577,0.853184163570404,0.29892194271087646,0.16561372578144073,0.3425832986831665,0.16632039844989777,0.4514884352684021,0.31701308488845825,0.13075444102287292,0.0,0.09642595052719116,0.03696528077125549,0.0,0.0462687611579895,0.12650448083877563,0.24934019148349762,0.25392359495162964,0.0,0.16524283587932587,0.01687588170170784,0.05138727277517319,0.10329008847475052,0.011119537986814976,0.03085724636912346
9,neutral,0.11159905046224594,0.013429949060082436,0.0784776508808136,0.014511199668049812,0.31945520639419556,0.08397006243467331,0.37855684757232666,0.06875230371952057,0.008304726332426071,0.11542060226202011,0.005692882463335991,0.1350013017654419,0.09016863256692886,0.19555406272411346,0.2906090021133423,0.03331940248608589,0.5314266681671143,0.025134552270174026,0.5383318662643433,0.42649927735328674,0.7339687347412109,0.016732636839151382,0.0018666834803298116,0.004095120821148157,0.005183416418731213,0.062491532415151596,0.007458053063601255,0.041830677539110184,0.45000016689300537,0.19501623511314392,0.8402842283248901,0.3160969018936157,0.19993402063846588,0.807692289352417,0.2540415823459625,0.18990890681743622,0.0,0.0735611841082573,0.1720580756664276,0.39896634221076965,0.5595793128013611,0.19230769574642181,0.26637721061706543,0.21426871418952942,0.6887463927268982,0.5960889458656311,0.13065864145755768,0.2222082018852234,0.07144766300916672,0.05091220885515213,0.08915505558252335,0.05619732290506363,0.035640351474285126,0.4019184708595276,0.0920349583029747,0.25478315353393555,0.0,0.02838139235973358,0.055683497339487076,0.18270716071128845,0.14213170111179352,0.4019184708595276,0.07091029733419418,0.09451480209827423,0.2994803488254547,0.2497207522392273,0.09011171758174896,0.14099568128585815,0.6622222661972046,0.2724876403808594,0.9414352774620056,0.41428813338279724,0.28222358226776123,1.0,0.41964977979660034,0.8669936060905457,0.0,0.13976088166236877,0.3044940233230591,0.702868640422821,0.737807035446167,1.0,0.44484710693359375,0.4110867381095886,0.9992495179176331,0.9088683724403381,0.35628223419189453,0.430511474609375,0.3253495991230011,0.10706783086061478,0.5576642751693726,0.23729698359966278,0.15719947218894958,0.0,0.08722932636737823,0.004994442220777273,0.0,0.03812822699546814,0.10049419105052948,0.12811316549777985,0.351032018661499,0.0,0.17699527740478516,0.06263913959264755,0.07621917128562927,0.18508268892765045,0.032346151769161224,0.03639376908540726
10,neutral,0.0480203814804554,0.028616273775696754,0.20003341138362885,0.08633986115455627,0.3253113627433777,0.03579612076282501,0.27588263154029846,0.0489187091588974,0.020698823034763336,0.24345405399799347,0.1082380935549736,0.2258816510438919,0.043095290660858154,0.20509834587574005,0.19985342025756836,0.08645981550216675,0.8895539045333862,0.43683621287345886,0.7724162936210632,0.2062249481678009,0.7273370623588562,0.004771158564835787,0.0024456714745610952,0.007040028460323811,0.00861548725515604,0.015432028099894524,0.005950059276074171,0.003530122572556138,0.5118817090988159,0.23926085233688354,0.7599206566810608,0.3618965446949005,0.31213220953941345,0.9032257795333862,0.3121345043182373,0.20792649686336517,0.12903225421905518,0.16538718342781067,0.2558553218841553,0.4930383265018463,0.5407487154006958,0.4838709533214569,0.32005438208580017,0.19321449100971222,0.8083204030990601,0.5194789171218872,0.0715281292796135,0.09609365463256836,0.10970605164766312,0.059960171580314636,0.09739519655704498,0.030696647241711617,0.14179927110671997,0.3005371689796448,0.12012898176908493,0.1951819509267807,0.34077709913253784,0.11723367869853973,0.087131068110466,0.1642269790172577,0.1665630042552948,0.5080004930496216,0.09488771110773087,0.12998774647712708,0.26526400446891785,0.25513267517089844,0.04598771035671234,0.04702083766460419,0.8193861246109009,0.4103589951992035,0.9014099836349487,0.4380949139595032,0.6557767391204834,1.0,0.5498515963554382,0.7315876483917236,1.0,0.4548947215080261,0.4743998050689697,0.8514506220817566,0.7336218357086182,1.0,0.5316654443740845,0.4463118612766266,0.999852180480957,0.9197938442230225,0.20120614767074585,0.22289437055587769,0.36287716031074524,0.13688215613365173,0.4930442273616791,0.31560540199279785,0.1676274538040161,0.0,0.131898432970047,0.02492942474782467,0.0,0.042881328612565994,0.12117625027894974,0.21884344518184662,0.23810309171676636,0.0,0.12352673709392548,0.015532364137470722,0.16308744251728058,0.10149641335010529,0.014408869668841362,0.028941253200173378
