actor_id,emotion,emotion_mean_anger,emotion_mean_disgust,emotion_mean_fear,emotion_mean_happiness,emotion_mean_sadness,emotion_mean_surprise,emotion_mean_neutral,au_mean_AU01,au_mean_AU02,au_mean_AU04,au_mean_AU05,au_mean_AU06,au_mean_AU07,au_mean_AU09,au_mean_AU10,au_mean_AU11,au_mean_AU12,au_mean_AU14,au_mean_AU15,au_mean_AU17,au_mean_AU20,au_mean_AU23,au_mean_AU24,au_mean_AU25,au_mean_AU26,au_mean_AU28,au_mean_AU43,au_std_AU01,au_std_AU02,au_std_AU04,au_std_AU05,au_std_AU06,au_std_AU07,au_std_AU09,au_std_AU10,au_std_AU11,au_std_AU12,au_std_AU14,au_std_AU15,au_std_AU17,au_std_AU20,au_std_AU23,au_std_AU24,au_std_AU25,au_std_AU26,au_std_AU28,au_std_AU43,au_max_AU01,au_max_AU02,au_max_AU04,au_max_AU05,au_max_AU06,au_max_AU07,au_max_AU09,au_max_AU10,au_max_AU11,au_max_AU12,au_max_AU14,au_max_AU15,au_max_AU17,au_max_AU20,au_max_AU23,au_max_AU24,au_max_AU25,au_max_AU26,au_max_AU28,au_max_AU43
16,happiness,0.055443841964006424,0.052830759435892105,0.24152281880378723,0.07735521346330643,0.35622847080230713,0.015625419095158577,0.20099349319934845,0.582204282283783,0.28749197721481323,0.6968457698822021,0.36476823687553406,0.32248005270957947,0.8999999761581421,0.3227418065071106,0.27904799580574036,0.06666667014360428,0.16951584815979004,0.23869840800762177,0.525086522102356,0.5759899020195007,0.3333333432674408,0.30399289727211,0.18631936609745026,0.8429378271102905,0.4988318085670471,0.06226521357893944,0.07868298888206482,0.1453338861465454,0.08197906613349915,0.09953023493289948,0.042696695774793625,0.11076509207487106,0.3051285743713379,0.0897347703576088,0.3136541545391083,0.2537081241607666,0.11949189007282257,0.0859132781624794,0.1316933035850525,0.13010956346988678,0.4794633090496063,0.061592988669872284,0.0955076590180397,0.16922719776630402,0.21462081372737885,0.05509746074676514,0.026572775095701218,0.8372021913528442,0.4977955222129822,0.8395671844482422,0.4614091217517853,0.6303442120552063,1.0,0.4475153982639313,0.9796686768531799,1.0,0.5714022517204285,0.44759705662727356,0.7851501107215881,0.7418079972267151,1.0,0.4795592725276947,0.36503830552101135,0.9994751811027527,0.8167902231216431,0.30386966466903687,0.15831860899925232
17,happiness,0.08301462978124619,0.04072633758187294,0.20684944093227386,0.060012396425008774,0.27897223830223083,0.09047584235668182,0.23994910717010498,0.4847578704357147,0.22112023830413818,0.7774500250816345,0.3656856119632721,0.33747026324272156,0.9117646813392639,0.28033384680747986,0.3086787462234497,0.11764705926179886,0.17370814085006714,0.24222338199615479,0.40069717168807983,0.45110103487968445,0.5882353186607361,0.29194116592407227,0.13350652158260345,0.8241709470748901,0.6107925772666931,0.06967167556285858,0.11379562318325043,0.07405544817447662,0.05125947296619415,0.07886190712451935,0.038880057632923126,0.14489196240901947,0.28790223598480225,0.12326052039861679,0.25572851300239563,0.32703498005867004,0.12129991501569748,0.0810667872428894,0.15068548917770386,0.18362540006637573,0.4995541572570801,0.08815555274486542,0.12423916906118393,0.26827386021614075,0.24030916392803192,0.05459241941571236,0.060298074036836624,0.6619198322296143,0.3488808572292328,0.9315729141235352,0.44675880670547485,0.5946013927459717,1.0,0.5477864742279053,0.8728660941123962,1.0,0.5067667365074158,0.40205439925193787,0.6737160086631775,0.7586816549301147,1.0,0.5005167126655579,0.3601497411727905,0.9999233484268188,0.8720498085021973,0.312400758266449,0.2523609399795532
18,happiness,0.019366838037967682,0.044733017683029175,0.42164692282676697,0.15597012639045715,0.22372207045555115,0.03829553723335266,0.09626547247171402,0.7186363935470581,0.43819236755371094,0.6115537285804749,0.41366177797317505,0.3856807351112366,0.71875,0.27056217193603516,0.3556222915649414,0.1875,0.2883460521697998,0.32169830799102783,0.44914454221725464,0.4221011698246002,0.75,0.3211562931537628,0.10092921555042267,0.9649877548217773,0.6574459075927734,0.08183841407299042,0.10309047251939774,0.17996451258659363,0.20367136597633362,0.16608165204524994,0.06364219635725021,0.130598247051239,0.45680341124534607,0.07289382070302963,0.26940101385116577,0.3965577781200409,0.15498363971710205,0.09822659194469452,0.1446985900402069,0.11315171420574188,0.4399413466453552,0.08210764080286026,0.08533182740211487,0.07439086586236954,0.1461094617843628,0.072963185608387,0.044325344264507294,0.900490939617157,0.724517822265625,0.870926022529602,0.5574820041656494,0.592791736125946,1.0,0.43619266152381897,0.9469553828239441,1.0,0.5996448397636414,0.5377817153930664,0.7261375784873962,0.7148803472518921,1.0,0.49179527163505554,0.29367631673812866,0.9999246597290039,0.8464871644973755,0.3659495711326599,0.24742580950260162
19,happiness,0.03285112604498863,0.061139680445194244,0.2645241320133209,0.1145445853471756,0.34162354469299316,0.0256014633923769,0.159715473651886,0.540005624294281,0.27256307005882263,0.750695526599884,0.3564751446247101,0.376419335603714,0.8387096524238586,0.3928672969341278,0.3408612608909607,0.25806450843811035,0.2713856101036072,0.31142494082450867,0.5231978893280029,0.4914505183696747,0.7096773982048035,0.3217703700065613,0.10854149609804153,0.9350919127464294,0.6563000679016113,0.08081698417663574,0.10212093591690063,0.1288696825504303,0.0785875990986824,0.09221059083938599,0.03427727147936821,0.120063915848732,0.37387824058532715,0.09785573929548264,0.2354988157749176,0.44480273127555847,0.16267839074134827,0.101688452064991,0.11538644134998322,0.12680432200431824,0.4614143669605255,0.0606568343937397,0.09014323353767395,0.11525064706802368,0.18170808255672455,0.049636006355285645,0.06981509923934937,0.823375403881073,0.4464360773563385,0.88663649559021,0.44552165269851685,0.6003308296203613,1.0,0.5449891686439514,0.9214765429496765,1.0,0.627540647983551,0.44549790024757385,0.7736642956733704,0.7040754556655884,1.0,0.4476643204689026,0.2890554666519165,0.9997561573982239,0.9107983708381653,0.19815269112586975,0.3252684772014618
20,happiness,0.011155161075294018,0.020691102370619774,0.4493320882320404,0.22414115071296692,0.1586916446685791,0.07602280378341675,0.05996603146195412,0.7884432673454285,0.52080237865448,0.5384942293167114,0.4161202907562256,0.43342193961143494,0.7428571581840515,0.25694888830184937,0.4265395700931549,0.2571428716182709,0.3780326843261719,0.35609903931617737,0.4318642318248749,0.4035443663597107,0.8857142925262451,0.3107859492301941,0.06368666887283325,0.9466131925582886,0.6504965424537659,0.042042914777994156,0.09535504877567291,0.14449840784072876,0.17350512742996216,0.1871701329946518,0.058862876147031784,0.13476860523223877,0.4434395730495453,0.08713942766189575,0.24388714134693146,0.4434395730495453,0.18155184388160706,0.08753944933414459,0.14040686190128326,0.11108701676130295,0.3228028416633606,0.08149378001689911,0.06819285452365875,0.1757100522518158,0.14793169498443604,0.021149946376681328,0.039477527141571045,0.9090009331703186,0.750257134437561,0.9023017287254333,0.5571597814559937,0.6666980385780334,1.0,0.4763682186603546,0.8052719235420227,1.0,0.751559317111969,0.5536994934082031,0.741453230381012,0.7119444608688354,1.0,0.4699392318725586,0.3254532217979431,0.9998477697372437,0.8461683392524719,0.08672948181629181,0.2151767760515213
21,happiness,0.02899615839123726,0.037973735481500626,0.3822537958621979,0.12555648386478424,0.17751997709274292,0.09257950633764267,0.1551203429698944,0.6897961497306824,0.4148709177970886,0.5474230051040649,0.42628979682922363,0.3829178214073181,0.78125,0.24585121870040894,0.33152326941490173,0.03125,0.25912198424339294,0.32362741231918335,0.43506598472595215,0.40641191601753235,0.6875,0.32486629486083984,0.09132154285907745,0.8917542695999146,0.648423433303833,0.0526646226644516,0.11363842338323593,0.1936178207397461,0.21686682105064392,0.2094530463218689,0.08329109847545624,0.1329401731491089,0.420013427734375,0.08286462724208832,0.264727920293808,0.1767766922712326,0.14290854334831238,0.09871149808168411,0.12294561415910721,0.1425379067659378,0.4709290862083435,0.08294004201889038,0.09958560764789581,0.23460017144680023,0.2106514871120453,0.04541494697332382,0.05862134322524071,0.911994457244873,0.8242130279541016,0.8587480187416077,0.57060307264328,0.5824334025382996,1.0,0.4536100924015045,0.9440458416938782,1.0,0.571788489818573,0.5050762295722961,0.7233562469482422,0.7128835320472717,1.0,0.5145604014396667,0.3212457597255707,0.9998788833618164,0.8645738959312439,0.2350364774465561,0.26750659942626953
22,happiness,0.08393492549657822,0.07172608375549316,0.22629110515117645,0.07926427572965622,0.29178157448768616,0.0403234101831913,0.2066785991191864,0.5030599236488342,0.23043090105056763,0.7371060848236084,0.34980425238609314,0.33846229314804077,0.9354838728904724,0.3701835870742798,0.17610038816928864,0.06451612710952759,0.16804538667201996,0.26224860548973083,0.4939197599887848,0.5061655640602112,0.4838709533214569,0.3157854676246643,0.1517896205186844,0.8955615162849426,0.5780530571937561,0.0745028629899025,0.12255941331386566,0.06979427486658096,0.0579896979033947,0.11075476557016373,0.03069850243628025,0.13082119822502136,0.24973103404045105,0.11071521043777466,0.14503613114356995,0.24973103404045105,0.09773895889520645,0.0918792113661766,0.11159942299127579,0.15058192610740662,0.5080004930496216,0.0772562175989151,0.10049708932638168,0.16811411082744598,0.23726843297481537,0.081229567527771,0.07829421013593674,0.6262020468711853,0.333648145198822,0.9061134457588196,0.4260202646255493,0.6377036571502686,1.0,0.542576789855957,0.5353295207023621,1.0,0.4568955600261688,0.46505972743034363,0.6697297692298889,0.732803225517273,1.0,0.45462101697921753,0.3305290639400482,0.9999542236328125,0.8903620839118958,0.46664154529571533,0.3150879442691803
23,happiness,0.012500379234552383,0.00822215061634779,0.46062329411506653,0.038045428693294525,0.30642765760421753,0.09464160352945328,0.07953948527574539,0.7587881088256836,0.4699627757072449,0.5961015224456787,0.42550987005233765,0.29571953415870667,0.6153846383094788,0.19274957478046417,0.2309943586587906,0.07692307978868484,0.22464777529239655,0.26446178555488586,0.4647081196308136,0.4977658987045288,0.5,0.30107825994491577,0.17111529409885406,0.8330729007720947,0.6080232262611389,0.0972420796751976,0.08328350633382797,0.13946473598480225,0.16727252304553986,0.11771973967552185,0.06380920112133026,0.09971282631158829,0.49613893032073975,0.07279811799526215,0.21616654098033905,0.2717464864253998,0.12258704006671906,0.08205151557922363,0.1538267284631729,0.1745522916316986,0.5099019408226013,0.08447741717100143,0.1236691027879715,0.24651877582073212,0.1846693903207779,0.07225588709115982,0.051280442625284195,0.9003167748451233,0.7175684571266174,0.785763144493103,0.5725711584091187,0.5600168108940125,1.0,0.3740832805633545,0.862676739692688,1.0,0.46141675114631653,0.4332481920719147,0.7925999164581299,0.7638401389122009,1.0,0.5187100768089294,0.43173524737358093,0.9999209642410278,0.9104474782943726,0.36842080950737,0.21530640125274658
24,happiness,0.030628759413957596,0.034019071608781815,0.3089829087257385,0.0566815622150898,0.3264686167240143,0.050178490579128265,0.1930406242609024,0.5953742265701294,0.278585821390152,0.7202475070953369,0.37707069516181946,0.3312132656574249,0.9032257795333862,0.2832876443862915,0.2998654544353485,0.22580644488334656,0.16535122692584991,0.2599971890449524,0.4821547269821167,0.48565545678138733,0.5161290168762207,0.2807154953479767,0.14770430326461792,0.8725143671035767,0.5344713926315308,0.07464350759983063,0.08742351830005646,0.12557892501354218,0.08246779441833496,0.0987875834107399,0.03810325264930725,0.12950995564460754,0.3005371689796448,0.11591564118862152,0.19338801503181458,0.42502373456954956,0.09647969901561737,0.08138931542634964,0.12560521066188812,0.19078722596168518,0.5080004930496216,0.07147807627916336,0.11108511686325073,0.17858676612377167,0.27306073904037476,0.07422542572021484,0.04641472175717354,0.8787462115287781,0.4160235822200775,0.9039145112037659,0.4493422210216522,0.5879728198051453,1.0,0.4781707525253296,0.7188208699226379,1.0,0.4889976382255554,0.450077623128891,0.7574154138565063,0.7377843260765076,1.0,0.4506042003631592,0.31452107429504395,0.9999462366104126,0.9084512591362,0.3762109875679016,0.20134171843528748
1,sadness,0.07485910505056381,0.06242310628294945,0.16125339269638062,0.0639323964715004,0.32010331749916077,0.04479965567588806,0.2726290225982666,0.49028781056404114,0.2235703319311142,0.7346594929695129,0.3426300883293152,0.31649309396743774,0.9032257795333862,0.3575757145881653,0.1744631975889206,0.06451612710952759,0.17795485258102417,0.23374906182289124,0.4685640335083008,0.52138352394104,0.5483871102333069,0.3164956271648407,0.1606428027153015,0.8646475076675415,0.5566107630729675,0.054056331515312195,0.12222618609666824,0.05248095467686653,0.052584465593099594,0.10531876981258392,0.0286084171384573,0.12662862241268158,0.3005371689796448,0.10563737899065018,0.15658514201641083,0.24973103404045105,0.15431734919548035,0.07945268601179123,0.1293996125459671,0.13736319541931152,0.5058794021606445,0.0840194895863533,0.0999281033873558,0.2120620608329773,0.2658710777759552,0.022554155439138412,0.06918809562921524,0.581560492515564,0.3509119153022766,0.9190595746040344,0.43422362208366394,0.6380623579025269,1.0,0.5439565777778625,0.6658911108970642,1.0,0.5798662900924683,0.43820101022720337,0.7660762071609497,0.7431511282920837,1.0,0.4840013086795807,0.3582002818584442,0.9998210072517395,0.8846506476402283,0.09619464725255966,0.3300993740558624
